id,type,title,link_content,link,released_by,modified_date
c51b0dba91466efa,C01-Application Regulations,《Important Notices on Application for Entry into the Park Ecological Protection Areas and Other Restricted Zones》,"Modified Date: 2024/08/12
                
                Released by Taroko National Park Headquarters",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=2552,Taroko National Park Headquarters,2024/08/12
418c732ed38f0842,C15-Online Application System,Instructions,"Modified Date: 2018/09/10
                
                Released by CPAMI Position introduction: Trail head: mountaineering entrance Mountain house or camp: the last position every day General position: except the Trail head and camping sites Step 1: Select the position. Step 2: Select the position until the route of first day is completed, press [End a day] Please note: the last position of the day must be a mountain house or camp Step 3: Repeat steps 1 and 2 until the route planning for all days is completed. Please note: the last position on the last day must be a Trail head. Tip 1: If you select the wrong position, press [Return to previous site] to cancel the previous position. Tip 2: If the content of the trip needs to be cleared and reordered, you can press [Re-plan] to clear all positions.",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=2564,CPAMI,2018/09/10
da02d5155b7a573f,C01-Application Regulations,What is a Mountain Entry Permit? What is a Park Entry Permit?,"Modified Date: 2019/04/01
                
                Released by Taroko National Park Headquarters Applying for a Mountain Entry Permit (also known as a Mountain Access Permit or a Police Mountain Permit) allows the applicant and their team to Entry mountainous areas that are within the restricted area. The Mountain Entry Permits are managed by the National Police Agency. Sometimes, these areas overlap with the Ecological Protection Area of some of Taiwan’s National Parks. A second Park Entry Permit (also known as a Park Access Permit) is needed to Entry overlapped areas. In some special cases, Taroko National Park has an existing agreement with the Xiulin County Police Department to waive the Mountain Entry Permit requirement for certain trails. The Park Entry Permits are jointly managed by the high-mountain National Parks of Taiwan (Sheipa, Taroko, Yushan).",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=2661,Taroko National Park Headquarters,2019/04/01
9c82ab7be73b3827,01-Application Regulations,How to Apply for Yushan National Park Ecological Protected Area Park Entry Application?,"Modified Date: 2024/11/27
                
                Released by Yushan National Park Headquarters Online application for park entry permit to routes inside Yushan National Park ecological protected area: https://hike.taiwan.gov.tw/en/apply_1.aspx Please save a draft before submitting an application. In case of difficulty, it’s possible to use the saved draft and submit a new application from the page “ Edit Drafts .” It’s also possible to check status , modify or cancel application online. Groups staying overnight at Paiyun Lodge is required to pay Paiyun Lodge fee . Groups whose applications are approved could print Park Entry Permit 5 days before entry date and apply for Mountain Entry Permit by clicking Apply Mountain (police) Permit . This allows you to send your application to National Police Agency online application website . The requirements and deadlines differ from routes, please read “ Important Notices for Park Entry ”.",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=1026,Yushan National Park Headquarters,2024/11/27
e9ae2c9ab22c477b,01-Application Regulations,A brief introduction of how to apply for Paiyun Lodge,"Modified Date: 2024/12/13
                
                Released by Yushan National Park Headquarters Paiyun Lodge application is within the procedure of the park entry permit application . Mt.Jade Hiking Guide Route Options Main Route Secondary Route Schedule Yushan Trails 2~5 Days(Tataka - Yushan Trails -Tataka ) 2 Days(Tataka - Yushan Trails -Tataka )(Paiyun Lodge Advanced Application) Please visit ""HOME >> Travel information >> Mountain Hiking Route "" Suggested Itinerary of Yushan Trail s 2 Days Schedule Example: Day 1： Paiyun Mountaineering Center→ Tataka Trail Head→ Mt. Jade West Peak→ Paiyun Lodge Day 2： Paiyun Lodge→ Mt. Jade Main Peak→ Paiyun Lodge→ Tataka Trail Head → Paiyun Mountaineering Center Application Ways Application website： https://hike.taiwan.gov.tw/en/web_index.aspx Postal mail address: No.515, Sec. 1, Jhongshan Rd., Shueili Township, Nantou County 553, Taiwan (R.O.C.) Contact phone number: +886-49-2348209 E-Mail Box website： https://hike.taiwan.gov.tw/en/mail.aspx Application Deadline The draw is generally conducted 1 month prior to the intended park entry date, and postponed to the following workday when encountering weekends/holidays. Online application and application modification of the draw-conducted date is unavailable during the time that a drawing is held: GMT+8 from 3pm to 4pm. The Application Deadline of Foreign Advanced Quota Advanced application exclusively for foreigners is available from 4months to 35days before the climb date. 24 occupants per day from Sunday to Thursday, except national holidays. Only 2 native occupants at most are allowed per team for local guides or interpreters. How do foreign visitors apply for quoted spaces at Paiyun Lodge when hiking the Yushan Main Peak Route? All visitors (locals and foreigners) can apply. Visitors under the age of 18 should obtain a parental consent from parents or guardian. Campsite/Cabin Drawing Lots Procedures For the dates and time of the lottery draw, please visit “HOME >> Bulletin Board >> News >> YSNP Lottery Draw Schedule”. During 15:00~16:00 (postpone when encountering holidays), the time when the lottery is conducted, it will not possible to submit or modify an application. Once the result of the lottery is announced, groups that get slots will get E-mail and SMS notification. After the lottery, groups that are not chosen could apply for other dates or submit an application for the same date to be on the waiting list. (For example, the lottery draw for entering on 10 October is held during 15:00~16:00 on 10 September. Groups that don’t get slots could submit an application for the same date after 16:00) Candidacy Teams on the waiting list have the priority to fill in the new vacancies. Teams that are lining up will be filled in the order of the date when all team member information is completely filled out. Applicants’ replacement: Team leader can be replaced once only. The Team Leader Replacement Application Form should be submit 1 days before the entry date. the Usage of Paiyun Lodge of Yushgn Nation Park Lodging fee for Paiyun Lodge: NT$480 per person per night.  Lodging fee for Paiyun Lodge is charged according to “ Fee-charging Standards for the Usage of Paiyun Lodge of Yushan Nation Park .” It could be paid in the following ways: Fee Payment Methods Refund Conditions NTD 480 person/night 1. Cash 2. Bank transfer 3. Postal money orders 1. Park closed due to natural disasters 2. Applications cancelled 14 days before the entry date 3. Groups/individual under special circumstances Catering and Sleeping Bag Rental Service at Paiyun Lodge Chinese website with pictures: https://go17713.ego.tw/display_1.html#menu Order Form (English): https://docs.google.com/document/d/12O8X7_yV5j6zc4x11CGszf26i-idMXK-/edit Please send the completed form to: go177813@gmail.com Shuttle Bus There will be a shuttle bus running between Paiyun Mountaineering Center to the trailhead, the fee is $100NTD per person. Please refer to : http://www.facebook.com/dongpusky Yushan Climbing Commemorative Certificate To apply for a Yushan climbing commemorative certificate, please refer to the following page: https://www.ysnp.gov.tw/StaticPage/Apply Others Before the hiking, we suggest that visitors check on the status of  Yushan trails and Paiyun Lodge , watch educational videos about hiking safety on the website. Since January 1999, the YSNP HQ has implemented a number control on daily visitors to the Park, and the accommodation lottery drawing. Based on the principle of justice, fairness and openness, the headquarters host the lottery drawing supervised by ethic officials daily at 3-4pm one month before the climb date. Visitors are much welcome to participate in the drawing procedure.  Given the popularity of Yushan National Park in these years, it would be a slim chance to get the space at Paiyun Lodge on weekends so visitors might want to arrange the schedule on weekdays for better chance. Once the drawing result comes out, the teams who get the space will receive the notification via email and text message. Teams who don’t get the space need to apply again for another date, or to apply for the same date to line up in case of any vacancies released.",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=2567,Yushan National Park Headquarters,2024/12/13
25e6b31cf1903dd0,C01-Application Regulations,Do I need a permit for my trail itinerary?,"Modified Date: 2019/04/01
                
                Released by Taroko National Park Headquarters On the Taroko National Park Trails webpage , only trails listed under “Mountaineering Trails” may require one or more permits. Trails listed under “Scenic Trails” or “Hiking Trails”, in addition to all Scenic Spots require no permits whatsoever. Specifically (not exhaustive): Both Park Permit and Mountain Permits required: Mt. Nanhu Mt. Nanhu – Mt. Zhongyangjian (North Section 1) North Section 2 Mt. Shuan – Mt. Lingming Mt. Shuan (single day ascent) North Section 1 to 2 Mt. Bilu – Mt. Yangtou Mt. Bilu (single day ascent) Mt. Qilai Main/North Peak Mt. Qilai Range Mt. Qilai South Peak Qilai East Ridge Other (non-traditional) routes Park Entry Permit only: Mt. Yangtou Mt. Qingshui Zhuilu Old Road Mountain Entry Permit only: Mt. Hehuan North Peak Mt. Hehuan West Peak Mt. Nanhua (outside Park premises) No permits needed (non-exhaustive): Mt. Hehuan Main Peak Mt. Hehuan East Peak Mt. Hehuanjian Mt. Shimen (Main and North Peaks) Mt. Pingfeng Lushui-Wenshan Trail Lushui-Heliu Trail Baiyang Trail Dali-Datong Trail Shakadang Trail Alternatively, please visit the Taroko National Park permits webpage for a list of which trails need which permits: https://www.taroko.gov.tw/en/Announcements/MountainPermits",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=2655,Taroko National Park Headquarters,2019/04/01
28b56b033feb51ee,C01-Application Regulations,How can I apply for a Park Entry Permit?,"Modified Date: 2019/04/01
                
                Released by Taroko National Park Headquarters You can make an application through the Online Application for Taiwan National Park Permits website. From this link, you can find out the application window dates by using the widget located on the lower right of the webpage. For all routes, the application window opens 30 days before the intended hiking start date. Applicants can prepare a draft of their application before this date, which is saved on the system for up to 7 full days after the draft was last modified. The system accepts applications daily from 07:00 to 23:00 in the order which they are received: https://hike.taiwan.gov.tw/en/apply_1.aspx",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=2656,Taroko National Park Headquarters,2019/04/01
655440aad2cb717c,C01-Application Regulations,When can I apply for a Park Entry Permit?,"Modified Date: 2019/04/01
                
                Released by Taroko National Park Headquarters Hikers are able to apply for permits to enter trails up to 30 days before the first date of intended entry. Note that this regulation differs from that of Yushan and Shei-Pa National Parks, which are from the last date of intended entry. The application window differs by route: 7-45 days before entry: Nenggao Historic Trail (Tianchi Lodge) 7-30 days before entry: Mt. Nanhu Mt. Nanhu – Mt. Zhongyangjian (North Section 1) North Section 2 Mt. Shuan – Mt. Lingming Mt. Shuan (single day ascent) North Section 1 to 2 Mt. Bilu – Mt. Yangtou Mt. Qilai Main/North Peak Mt. Qilai Range Mt. Qilai South Peak Qilai East Ridge Mt. Qingshui Other (non-traditional) routes 3-30 days before entry: Mt. Yangtou (single day ascent) Mt. Bilu (single day ascent) 1-30 days before entry: Zhuilu Old Road (up to 3 pm the working day before date of intended entry) Please note that some routes have a quota on the number of hikers per day and so early applications are encouraged to guarantee entry. Please see "" Why are there quotas for each trail? "" for more information. Applicants can use the widget on the lower right section of the Online Applications for Taiwan National Park Permits homepage to calculate the dates of the application window given the intended hiking dates: https://hike.taiwan.gov.tw/en/index.aspx Please also note that the Nenggao Historic Trail is outside the premises of Taroko National Park, and all applications for Tianchi Lodge are handled by the National Forestry Bureau (application in Chinese only). You will, however, need to apply a Park Entry Permit if you intend to summit Mt. Qilai South Peak. Please see "" Are permits needed for Qilai South Peak and Mt. Nanhua? "" for more information.",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=2664,Taroko National Park Headquarters,2019/04/01
bcb7e6d2fd5c8a92,C03-Application Progress Inquiry,"If I already received a Park Entry Permit, how do I apply for a mountain entry permit?","Modified Date: 2024/09/20
                
                Released by Taroko National Park Headquarters After receiving your Park Entry Permit, you may need to apply for a Mountain Entry Permit. Please see ""Do I need a permit for my trail itinerary?"" for specific information on which trails need which permits. You can apply for the Mountain Entry Permit in three ways: If you have already received your Park Entry Permit, you can automatically transfer your details from the Park Permit application to the Police Mountain Permit application. This is the most common method. To do this, please go on our website to: Online Application > Check Status/Print Permit/Apply for Mountain Permit > [Enter in your details] > Apply Mountain (Police) Permit. This option should be the second of four, on the bottom of the main column. The processing time for the application should be a few working days. This options is only available 5-30 working days before the starting date of your hike. You can obtain a Mountain Entry Permit in-person by visiting a police station nearby the trail entrance. This can be done any day up to the day of the hike, and should take 10-20 minutes. Note that most police stations are not open 24 hours, so it is best to check their opening hours before arriving. Please visit our website for a list of which police stations can process which trails: https://www.taroko.gov.tw/en/Announcements/MountainPermits You can apply for the Police Mountain Permit online by yourself. The application can only be completed in Chinese, and the processing time for the application should be a few working days. This option is only available 5-30 days before the starting date of your hike. Registration for the Mountain Entry Permit is done online through this link: https://nv2.npa.gov.tw/NM103-604Client/",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=1157,Taroko National Park Headquarters,2024/09/20
3f17bc08ed778bf3,C99-Others,How much does a Park Entry Permit cost? How much does a Mountain Entry Permit cost?,"Modified Date: 2019/04/02
                
                Released by Taroko National Park Headquarters Both Park Entry Permits and Mountain Entry Permits and their registrations are free of charge. All other areas of the park (scenic spots, scenic trails, hiking trails, mountaineering trails) are similarly free of charge. However, a ticket (NT$200) is required to enter Zhuilu Old Road, payable in cash only upon arrival at the trailhead. Please consult our Fees website for more details: https://www.taroko.gov.tw/en/Announcements/Fees",https://hike.taiwan.gov.tw/en/news_7_1.aspx?ID=2658,Taroko National Park Headquarters,2019/04/02
