episode,title,summary,song_recommendation
EP1,沒錄到後半部的NMSL前世今生,NMSL你媽死了 最早是在CS看到的 msl是一個丹麥二線玩家（通常是一線貼紙比較貴）一個團體叫envy 符號是N 你媽死了跟幹你娘差不多 誠誠如果要刺青 第一個刺幹在手上 小一就開始在寫幹了、倫覺得寫幹太屁孩 都寫哈 中泰twitter大戰、會出現nmsl是要避敏感詞、現在都罵別人確診、中國會屏蔽 舉例台灣如何委婉才能顯示是兩個不同的國家 不要討論女性跟NBA的事情 帳號名字取 吳淑珍站起來（google搜尋吳淑珍第二個就是站起來 第四個是站不起來）馬鶴凌 馬上風 人類/台灣人集體淺意識（我堅強復國）、文字獄 5000年來偉大的傳統、大同的標語世界的國貨 白色恐怖被檢舉（禍國的介石） 誠誠遊戲名字用譚德賽 終於有點時間練習手肘走路了,
EP2,我實在是想不到比多人運動更委婉的說法, A 片打炮算偷情 戴 VR 做愛舉報通姦罪 做公投 究極 no 選擇 用 VR 跟老婆做愛 v.s. 柯粉卻投給蔡英文 羅志祥 周楊青在意的不是多P 而是被羞辱、羅到每個城市都約一個妹 周 9 年來劈腿都原諒 羅可能有性成癮 畢竟40歲了（誠害怕陽痿 一直覺得25歲就會、倫浪費了黃金十年） 真實故事 男生（新北）要開店住女生家（台北）女生接受開放性關係但不可以談戀愛 身心分離派（倫：所以可以戴著VR眼睛看女朋友跟別人做） 結果後來男生帶一個妹妹到女生房間打炮 女生覺得被羞辱、爭論女生生氣的點 空幹影片雖然尷尬但身為男性還是蠻佩服的 無法想像多人要如何愉悅、誠比較母系社會想法 兩個男生比較能滿足女生 男性中只有家倫有資格譴責羅志祥 用柯粉類比 一輩子只跟一個人做愛 出軌外遇的時候應變能力會比較差 一定要誠實應對 不要公審 名人稅、雖然嘲笑林俊傑 但是被陳老師揍之後在微博發了正向文 間接承認有在約 誠對的敵對意識降低 但還是無法搜尋點開 live影片 羅志祥轉正的唯一方法就是宣布自己是台獨 已經被叫台男 太晚了（誠原本想用這個 idea 敲詐） 本集 李毅誠跟林俊傑和解 所以以後看到誠在看林俊傑影片 拍照就好不要說什麼、拳頭只要握著總有尻出去的一天 by何姓友人,
EP3,你聽過我爸連戰嗎?,強烈要求清大人社把學費還給艾莉莎莎，宿舍費不退 友人爭論時很愛拿綽號倒過來念來 不好笑的人都不會是壞人 條直 就是不會讀空氣 舉例:去 連瓶汽水都沒帶 就會被說 阿~ 逞誠很條直 直接講爸爸連戰 比較不會被指指點點 深刻的自我介紹 我爸連戰 我爸連橫 我阿祖連橫 康輔狂熱者 一到就要high 綽號麥當勞 、國中老師取綽號 菜頭 肉粽 貢丸 → 黑輪 怕被取綽號 先取別人綽號 、家倫高中同學綽號 巨星喬揚 讓隔壁班同學以為姓喬 、家倫當社長原因是最會掃地 連方瑀 李敖 李敖語錄：「男人不應該打老婆，不過連戰例外，因為她真的很欠打。」 誠爸媽互揍 阿英喝酒講自己很可憐 姓李的都欺負我 被開單 等等一定闖紅燈 倒賺1200 國小三年級的 me too 性騷擾女學生 館長粉肉粽講老師色龜被揍 館長有代言肉粽嗎 禿頭是髮型選擇比較少 再興仔 你弟建中耶 你一定沒認真啦~ 不能再考爛了 媽媽會被揍爆 讓人印象 舔中 誰贏得過連家 不是支持柯文哲 是支持民眾黨 不要跳出來反對國民黨就是盡孝心了 西瓜挑戰 何姓友人發現 連勝文說 西瓜要冰比較好吃 家裡有錢就是有錢 接受他 不要人格扭曲就好 靠不靠爸也不是你能決定的 工作升遷影響最大就是父母 父母加權500% 你爸不是誰 你就要多努力了 有韓流的丁守中還選不贏 搞笑的原則 人家有笑才要吹 放話 看完三集周遊記,
EP4,抄襲仔求生指南與周遊記挑戰失敗,Lofi house 便當怎麼抄襲都沒差 破鍋配爛蓋 不流汗的室內設計 風格師 5566 抄襲沒什麼看你敢不敢 劇 誰是被害者 很會演戲 王仁甫老婆 ugly U居賴 呼籲粉絲 不要挺我們 台通犯錯先不挺 一萬元 紓困 性工作者 女性坐在印表機上 何姓友人Bosch 水槍洗地瓜 抄襲 是沒辦法被接受的事情 中國鞋子開箱影片 故意買鞋來開 張作驥 此地 錢多 人傻速來 周遊記黑人篇 中國人崇拜大的東西而無內涵 例如周遊記在101錄開場 難看的在動畫 預算大概都花在上面 寧可看網飛的 虎王 二次大戰彩色版 活益比非多減糖 30% 添加膳食纖維 剪進去很多幫粉絲簽名的鏡頭 業配別人開的飲料店 周杰倫跟steam一樣 沒人敢砲他 粉絲加steam好友 播客 閒聊為受歡迎項目 長期目標 台灣通勤第一品牌 諧音梗標題 眾量級檳榔攤 民眾黨配色 老闆的兒子都不知道他爸在反串老闆的兒子是柯粉 柯文哲隔岸觀火 柯文哲失言 夜店女性享受父權的紅利 小昌讀懂了 梗圖 上博恩節目表演質詢 ----- 網飛的 虎王 二次大戰彩色版 劇 誰是被害者,
EP5,傑出人士表揚，李來希先生。,podcast 比 yt 好賺的原因 頻率 光頭葛格 抖內30元 祝生日快樂 先射箭再畫靶 違規停車 公務員語氣 東大特訓班 提到 公文就是為了讓人看不懂 把小燈泡的頭踢到高雄 破鍋配爛蓋 郭冠英 雪中送炭 支持 打造粗劣的武器來攻擊反對陣營 小燈泡媽媽 民進黨不會這樣操作選舉 放久的口香糖 大家喜歡看想像中的悲劇 夢到 翻開被子發現被口交 想像各種導演來導這種劇情 希望超過一定年紀取消投票權 館長跟風都跟超快 館長跟林俊傑長很像 李家同 老統派 唐湘龍 中原大學親中傾向 和美鎮基地台事件預告 周遊記棄坑宣言 twins阿嬌離婚 樂業街豪宅 男生愛慕虛榮會被笑 女生有時候是被逼的 孤兒洋芋片 家庭號 笑話 ----- 漫畫 東大特訓班,
EP6,誰再講一次全集中呼吸我就扁誰,,
EP7,國瑜！又是你！,,
EP8,質數延遲法與充氣坦克,,
EP9,寵物溝通師要開發票嗎？,,
EP10,至今仍逍遙法外！,,
